Fecha	Título	Link	Perma.cc
37503.0	"En busca de la gobernabilidad"	"http://archivo.eluniversal.com.mx/editoriales/15871.html"	"https://perma.cc/XC3S-T5WF"
37503.0	"Reitera inocencia ex regente"	"http://archivo.eluniversal.com.mx/nacion/88556.html"	"https://perma.cc/6RXX-8CER"
37505.0	"Ratifica Del Toro delitos contra activistas del 68"	"http://archivo.eluniversal.com.mx/nacion/88612.html"	"https://perma.cc/V2Y5-KBLP"
37507.0	"Nunca di órdenes a \"Halcones\": AMD"	"http://archivo.eluniversal.com.mx/nacion/88660.html"	"https://perma.cc/4M2S-3C2S"
37512.0	"Irrita a priístas sumisión de Madrazo y Gordillo / Beltrones: no auspicien más amparos a Amigos de Fox / El STPRM entregaría refinerías al gobierno "	"http://archivo.eluniversal.com.mx/columnas/25668.html"	"https://perma.cc/3YTX-8GKH"
37522.0	"En grave riesgo el PRI, ante trampa gubernamental / Si cae en ella podrían hasta llegar a desaparecerlo / Castañeda a Fox: eso haría \"creíble\" la transición"	"http://archivo.eluniversal.com.mx/columnas/25841.html"	"https://perma.cc/YNZ3-ACEF"
37528.0	"Juzgará milicia a dos generales"	"http://archivo.eluniversal.com.mx/nacion/89315.html"	"https://perma.cc/UMY4-7MXA"
37528.0	"Acusa Ibarra al Ejército de desplazar a la fiscalía"	"http://archivo.eluniversal.com.mx/nacion/89317.html"	"https://perma.cc/4CPF-DTYS"
37531.0	"Utiliza Fox las indagaciones para fines políticos, acusa PRI"	"http://archivo.eluniversal.com.mx/nacion/89412.html"	"https://perma.cc/NP6N-QBCW"
37531.0	"Fiscalía, aún sin resultados"	"http://archivo.eluniversal.com.mx/nacion/89410.html"	"https://perma.cc/3G7G-A24Y"
37531.0	"No han prescrito delitos de \"transgresores\": SDN"	"http://archivo.eluniversal.com.mx/nacion/89418.html"	"https://perma.cc/6DP3-YH4L"
37531.0	"Exige fiscal militar juzgar a guerrilleros"	"http://archivo.eluniversal.com.mx/primera/13211.html"	"https://perma.cc/BD6K-LVNN"
37532.0	"Militares juzgarán a militares"	"http://archivo.eluniversal.com.mx/columnas/26008.html"	"https://perma.cc/E97J-ZGX6"
37532.0	"Se consignará ante juez civil a militares indiciados: Carrillo"	"http://archivo.eluniversal.com.mx/nacion/89443.html"	"https://perma.cc/QJ4L-ZK79"
37532.0	"Nosotros no asesinamos, como lo hizo el Ejército"	"http://archivo.eluniversal.com.mx/nacion/89442.html"	"https://perma.cc/B3M2-HKNZ"
37532.0	"En la subprocuraduría, denuncia contra rebeldes"	"http://archivo.eluniversal.com.mx/nacion/89444.html"	"https://perma.cc/HBN7-TK8C"
37532.0	"La plaza amaneció barrida…"	"http://archivo.eluniversal.com.mx/nacion/89447.html"	"https://perma.cc/8282-73MX"
37532.0	"Fox respalda pesquisas sobre desaparecidos"	"http://archivo.eluniversal.com.mx/nacion/89450.html"	"https://perma.cc/M6T3-MRX5"
37533.0	"Defiende ex gobernador de Guerrero a generales"	"http://archivo.eluniversal.com.mx/nacion/89475.html"	"https://perma.cc/3CU2-BEY7"
