EDI_NENA,Inventory of text source data files,,,,,,
,Revised 08 October 2017,,,,,,
,,,,,,,
,,,,,,,
EDI identifier,Organization or Program,Date of collection,Web browser,Location of source,"Permanent links (added by QDR as of May 30, 2018)",File name,Notes
ON007,The Leap,5-Oct-17,Google Chrome,https://leapmanifesto.org/en/faq/,https://perma.cc/8VJM-VVNN,EDI_NENA.ON007.text.LeapManifestoFAQ.2017.nvcx,
ON007,The Leap,5-Oct-17,Google Chrome,https://theleapblog.org/after-paris-withdrawal-local-resistance-is-fertile/,https://perma.cc/CGZ4-B56S,EDI_NENA.ON007.text.Rogers-Wright.2017a.nvcx,
ON007,The Leap,5-Oct-17,Google Chrome,https://theleap.org/portfolio-items/why-every-hurricane-should-be-named-jim/,https://perma.cc/9S6E-YVKN,EDI_NENA.ON007.text.Rogers-Wright.2017b.nvcx,
ON007,The Leap,5-Oct-17,Google Chrome,https://theleap.org/portfolio-items/action-building-solar-powered-homes-in-the-path-of-kinder-morgan/,https://perma.cc/QNR4-PK7D,EDI_NENA.ON007.text.McKenna.2017.nvcx,
ON007,The Leap,5-Oct-17,Google Chrome,https://theleap.org/portfolio-items/the-leaps-only-ndp-endorsement/,https://perma.cc/JX8U-G8SX,EDI_NENA.ON007.text.Lewis.2017.nvcx,
ON007,The Leap,5-Oct-17,Google Chrome,https://theleap.org/faqs/,https://perma.cc/8SJ7-6YXP,EDI_NENA.ON007.text.TheLeapFAQ.2017.nvcx,
ON007,The Leap,5-Oct-17,Google Chrome,https://theleap.org/partnerships/,https://perma.cc/N7MN-WXAP,EDI_NENA.ON007.text.TheLeapPartnerships.2017.nvcx,
PE001,Summerside Electric,,,,,,
QC001,Fédération des travailleurs et des travailleuses du Québec (FTQ),,,,,,
QC002,Regroupement Vigilance Hydrocarbures Québec,,,,,,
QC003,Le Front commun pour la transition énergétique,,,,,,
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/2012-07-01_publication_actsforfutur_unionenvironmentalguide_csn/,https://perma.cc/S52Z-BYHY,EDI_NENA.QC004.text.CSNActsforFuture.2012,
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/2012-12_publication_pol-ind_csn/,https://perma.cc/WC8T-VBJK,EDI_NENA.QC004.text.CSNSecteurManufacturier.2012_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC004.text.CSNSecteurManufacturier.2012
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/wp-content/uploads/2017/06/65e-doc-manifeste.pdf,https://perma.cc/9JUC-4DCA,EDI_NENA.QC004.text.CSNManifeste.2017_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC004.text.CSNManifeste.2017
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/2015-12-07_bylaws_csn/,https://perma.cc/AF6D-Q664,EDI_NENA.QC004.text.CSNBylaws.2015,
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/2016-03-16_cop21_csn/,https://perma.cc/L2UB-9G5Y,EDI_NENA.QC004.text.CSNCOP21.2016,
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca//wp-content/uploads/2016/04/2015-09-25_strategie_energetique_CSN.pdf,https://perma.cc/QE7V-RHPN,EDI_NENA.QC004.text.CSNStrategieEnergetique.2015,
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,http://vertlasolidarite.org/wp-content/uploads/2015/09/Politique-developpement-durable-CSN-2015.pdf,https://perma.cc/9LLJ-F6RX,EDI_NENA.QC004.text.CSNDeveloppementDurable.2015_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC004.text.CSNDeveloppementDurable.2015
