Filename	Title	Source
"Trachtenberg_BR_19610321"	"Note by the Rt. Hon. Harold Watkinson, M.P., United Kingdom Minister of Defence, of his Discussions with the Hon. Robert McNamara, United States Secretary of Defense and officials of the American Defense Department, March 21, 1961"	"n/a"
"Trachtenberg_BR_19610405_1"	"Minutes of US-UK (Macmillan; Kennedy; Rusk; Acheson) Meeting re: NATO, not dated"	"n/a"
"Trachtenberg_BR_19610405_2"	"Minutes of Macmillan-Ball Meeting re: Europe (part)"	"n/a"
"Trachtenberg_BR_19610406"	"Minutes of US-UK (Home; Kennedy) Meeting re: Berlin, not dated"	"n/a"
"Trachtenberg_BR_19610407"	"Report by the Joint Planning Staff, NATO Strategy - Use of Conventional Forces, April 7, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610413"	"Record of a Meeting between the Rt. Hon. Harold Watkinson, M.P., United Kingdom Minister of Defence, and M. Messmer, French Minister of the Armed Forces, April 13, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610421"	"The Situation in Laos; Mr Acheson's Concept of Conventional Operations - United Kingdom Military Implications"	"Public Record Office, London"
"Trachtenberg_BR_19610422"	"Minutes of a Meeting held in the Prime Minister's Room, Authority for British Commanders in N.A.T.O. to Launch Nuclear Weapons, April 27, 1961"	"n/a"
"Trachtenberg_BR_19610425"	"Summary of United Kingdom Views on NATO Strategy"	"Public Record Office, London"
"Trachtenberg_BR_19610427"	"Note by the Secretary, Mr. Acheson's Concept of Conventional Operations, Cole, April 27, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610428"	"Macmillan Letter to Kennedy re: France, April 28, 1961"	"n/a"
"Trachtenberg_BR_196104DD"	"NATO Strategy and nuclear Weapons Military Implications of the Mottershead Report"	"Public Record Office, London"
"Trachtenberg_BR_19610501"	"Memorandum by the Minister of Defence, U.K.Views on N.A.T.O. Strategy and Nuclear Weapons, May 1, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610503"	"Note by the Secretary, NATO Strategy and Nuclear Weapons - Military implications of the Mottershead Report, Warne, May 3, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610505"	"de Zulueta Note re: \"The Nuclear\" (Part), not dated"	"n/a"
"Trachtenberg_BR_19610508"	"Draft Telegram from foreign Office to Washington, May 8, 1961"	"n/a"
"Trachtenberg_BR_19610509"	"Kennedy Letter to Macmillan re: France and Germany, May 8, 1961"	"n/a"
"Trachtenberg_BR_19610514"	"Macmillan Draft Letter to Kennedy (part)"	"n/a"
"Trachtenberg_BR_19610530"	"Confidential Annex to C.O.S. (61) 32nd Meeting, May 30, 1961"	"Public Record Office, London"
